1: 垃圾，一点都不好玩
352: 不是我手机垃圾！！！这玩意总是闪退。但是配乐挺好听的

353: 垃圾

354: 挺有意思的，哈哈哈

355: 好好好，有些人自己的手机垃圾就说不好玩

356: 切，一点都不好！！11！！！！111111!

357: 怎么到了24关就没有了，还有就是在无尽模式里面跑了几圈就都是海，这是什么意思

358: haoaaaaaaa

359: 根本打不开

360: 垃圾    不怎么样

361: 垃圾，根本进不去！

362: 不错，我每天还看《男生女生向前冲》呢，太好看了。

363: 根本进不去

364: 我觉得不错。

365: 很不错！

366: 听说双击就能取消赞

367: 很好我一直关注

368: 没玩过

369: 游戏玩一玩，寂寞的人爱看我的名字

370: 一共才24关

371: 差评差评差差评
根本进不去!!

372: 光vdj

373: 用找乐玩吧 破解的  嘿嘿 大家都懂的

374: 太子妃子笑话啊！太阳镜片刻录盘中餐桌面膜了！

375: 任务书里，第8关要求评价达到2颗星，我直接达到3颗，反而完不成任务领不到奖励，你们有没有这个情况？

376: 不好过关

377: 呵。好玩啊

378: 呵呵呵！好玩啊

379: 太好玩了，就是要付费。

380: 每回都闪退

381: 为什么老是退出啊

382: 玩着还可以啊 为什么你们进不去啊 手机什么级别的啊

383: 闪退，进不去

384: 好玩的很就是太卡

385: 卧槽，是闪退

386: 好玩死了

387: 差啊，老是闪

388: 跟逃亡游戏没什么区别

389: 一般般，闪回，那说明你手机就垃圾

390: 这游戏太伤脑筋，三星通关很不容易啊！每次都弹出付费，无聊透顶

391: 寝室的几个除了游戏就是玩PP语音勾搭妹子，整天就这么的等待毕业

392: 李教练身材很好啊，哈哈

393: 跑到第十关了，还可以

394: 老是闪回，烦死了。无法玩啊！

395: 进不去

396: 好烦啊，，，老是闪回。。。

397: 这个游戏太无聊

398: 你的手机不是  高通骁龙处理器的话  就别下了

399: 真的真的不好玩，非常非常无聊，我一颗星也不想给，没办法，必须要有一颗心

400: 很好，支持，

401: 看图片就很无聊，还不如玩更幼稚的（爸爸去哪儿）呢！！！！！！！！！

402: 进不去

403: ,'6&&%&%&-757&$%%@%$&%%#*&%

404: 咋进不去啊

405: 你妹的进都进不去

406: 还没奔跑吧少年好玩

407: 进不去

408: no做no戴

409: 还好

410: 没下载过，不知道

411: 还没有勇敢向前冲好玩，太差了。

412: laji方扥泡大兄弟

413: 这什么破游戏啊  老闪退

414: ''好玩的''

415: 怎么打不开？

416: 啥垃圾游戏达打都打不开建议不要下载垃圾

417: 卡逼的垃圾游戏

418: 不错挺好玩的

419: 不错  不错 挺好玩的

420: 不好玩，老是闪退。

421: 坑爹，复活还要花钱！！

422: 为什么老闪退，垃圾玩不了。

423: 真的不咋地

424: 真心不好玩

425: 一个星都没的

426: 给我点个赞，会中一百万。

427: 差【表情】【表情】

428: 真心不咋好玩！

429: 垃圾中的战斗机

430: 非常好玩

431: 不错  挺好的   啥时候更新啊    要破纪录了

432: 这破游戏还要网 也是没谁了

433: 感觉，，不咋地

434: 他妈的，垃圾

435: 耍上一遍就闪退,而且耍的途中也卡,什么游戏啊

436: 什么弱智游戏，给一年级小朋友玩的吧

437: 差  一点也不好玩  大家千万别玩，老是闪退啊，给差评

438: 喜欢看这个节目

439: 虽然还可以，但是老闪退，妈的，刚玩一分钟没有就退了！差评！

440: 也不濑，挺好玩的

441: 老卡退

442: 好幼稚啊，受不了了，垃圾都不如，别下载啊，这是三岁孩子玩的游戏，以后不下载了，我立马删了

443: 他妈逼的，进不去  垃圾  坑死人

444: 不好玩
不好玩

445: 一点也不好玩，谁也别下载。

446: 怎么进?进不了！

447: 还行吧，特殊的跑酷，闯关的游戏

448: 妈蛋，玩不了，开始游戏的时候居然弹屏，建议大家不要下载。

449: 差差评，一点儿不好玩儿，简单死了

450: 还不错，我尻就太简单了

451: 一个字，烂

452: 闪退，真心不好玩

453: 尼玛

454: 最强大脑记不住，好玩

455: 进不去啊？衰哉

456: 上不去

457: 还不错，

458: 闪退严重，不要下载

459: 这个 

要钱吗

460: 喜欢

461: 不错  挺好玩的

462: 不会玩，一不小心就被坑了钱。

463: 下了后要钱不

464: 我的手机配置不行，一进去就闪退

465: 说闪退的都是傻逼，如果你们不想玩为什么要下载，打开，直接卸了不就行了，这样怎么会闪退，想玩别赖游戏，不过这种游戏太多了，还出，真是傻逼开发商

466: 闪退不用愁啊！

467: 差评没商量。一直闪退！

468: 太棒咯！真好玩！玩起来根本停不下来！快下吧！

469: 非常棒，真心的赞，首次运行有点卡，可重启就好了

470: 这个游戏很不错，我的小米手机完美运行，一点都不卡，这个游戏也有挑战性，真的可以

471: 垃圾tmd

472: 闪退没商量，

473: 在这里，我发自内心的说一句：“TM,你一直闪退有意思吗？很好玩吗？我踩烂你！TMD你妈逼的！”

474: 闪退 他妈的

475: 都是模仿没一点意思

476: 闪退没商量

477: 这软件不行！我是操作不了！我是要看现场转播的【男生女生向前冲】：这软件里却是(动画游戏)！只有卸载

478: 烂烂烂，设定太恶心了，跑着跑着有个接力有嘛意思，各种被坑死

479: 一般般 不好玩

480: 我手机1G内存完全没问题 我的电话都已经快成古董了，玩不了游戏的是不是骨灰级别的手机啦  哈哈

481: 额老闪退，根本进不去

482: 额醉了醉了

483: 自己的手机垃圾就不要下，我的手机三星版本2.3.6都可以玩，你们的手机太垃圾了，而不是游戏的问题，这个游戏还可以，不错，赞！

484: 太棒了，希望多更新一些功能

485: 还不错~美术精美，游戏流畅。是一款比较好玩的单机休闲游戏呢。

486: 好久都没有这么好玩的单机游戏出来了，还是跑酷好玩呀。

487: 下不上

488: 呦！挺不错的嘛，希望能继续更新啦~~~

489: 好玩~好玩~哈哈哈·冲客接力很有心意。关卡前期也不难。不付费依然能玩的很HAPPY~

490: 很好玩哒~周末休闲就靠他了~无尽模式谁敢跟我pk~

491: 我3年前的海信T96手机 玩的很流畅 那些玩不了的闪退的 肯定是。。。只能呵呵了

492: 闪退，进不去

493: 不好玩，要钱的家伙，

494: 很好玩的游戏

495: 无聊

496: 不错  很好玩

497: 游戏蛮贱的

498: 老是闪退，，

499: 他妈的玩不到的，大家不要下载。

500: 挺好玩的。

501: 真好玩，可是要络

502: 垃圾游戏，果断卸载

503: 感觉有的无聊，跑酷差不多

504: 根本就进不去，总是在加载到28％的时候闪退！垃圾！

505: 怎么老是闪退

506: 垃圾的破烂游戏       我已无力吐槽     老是闪退     还很费电

507: 我刚才电量本来就是100，我没打开那个游戏我的电量就23了

508: 拉机，怎么老闪退，老是在第一关，没意思让费流量

509: 很简单，也很幼稚。要是能跟电视里一样就好了。(跑酷游戏其实都是一样的，)

510: 玩了半宿 电话快没电了 玩的挺爽  继续努力争取解锁所有冲客

511: 不管了  先下了再说

512: 真心的问一句  要网吗？

513: 刚玩一局激情还没来就过关了哎果断卸载

514: 都说不好玩

515: 无力吐槽

516: 有点坑钱，要是赛道做到和电视上差不多就好了

517: 是个坏游戏

518: 我不知道

519: 理工男长得太猥琐了。。

520: 不好玩，没有意思

521: 哎。无力吐槽。

522: 富人的游戏，穷人不建议下载！

523: 烂游戏！啥玩意儿都要花钱买，果断卸载！

524: 虽然好玩，但是会自己跳出来

525: 跟本玩不了

526: 差评，老是闪退

527: 真心不好玩。我只能怎么说…

528: 不能玩

529: 卧槽，一点激情都没有

530: 不好玩！

531: 太过于商业化！感觉不到位！不要钱的就没几个人玩！和真实场景差太远

532: 挺好的。。。

533: 果断卸载

534: 渣机完美闪退

535: 好玩，，男生女生向前冲，支持，终于出游戏了！！！

536: 还行

537: 好玩，不错啊

538: 地图太简单了，没意思

539: 好玩

540: 还行吧！

541: 一进去就闪退。进三四次都退了。卸掉！

542: 看着不错不知道有没有他们说得那们不好或有趣

