1: 为什么进不去！！！
307: 一直闪退

308: 千篇一律   好无聊啊   强化 推图  强化推图。。。。

309: 为什么兑换礼包不行啊，兑换码复制了粘贴不了，手动输入一点兑换也没有了

310: 5区也进不去？？？？

311: 8区也进不去

312: 今天进不去！

313: 今天六区啥情况？为啥进不去？

314: 进不去呀

315: 今天怎么六区进不去啊

316: 为什么今天六区进不去啊？

317: 真实感受，这游戏还不是不错的，我认为是我玩的所有卡牌游戏里最好的，而且让我回忆起了童年，游戏画面很好，人物和电视里一样，赞个吧

318: 画面虽然是2D，但是是我见过的最好的2D啊，画面精美的一笔，人设和动画一样一样的，还有各种特效，就俩字：给力！！

319: 小时候就特别喜欢看圣斗士，现在工作又特别忙没时间休闲玩游戏，正好出了个轻度的手游，既能怀念童年又能随时随地玩，真是太棒了！

320: 打开游戏的一刹那仿佛回到童年坐在小板凳上看圣斗士的情景，历历在目啊。这游戏让我回忆起那段懵懂的时光，真的谢谢游戏开发团队。

321: 在游戏里看见弹幕的时候我真是笑了，这脑洞开的得是有多大啊。。游戏本身很不错，人设对得起圣斗士粉，不过说回弹幕，有了弹幕之后小广告太多了得管管

322: 在游戏里看见弹幕的时候我真是笑了，这脑洞开的得是有多大啊。。游戏本身很不错，人设对得起圣斗士粉，不过说回弹幕，有了弹幕之后小广告太多了得管管

323: 超棒的游戏，人物真的是完全和以前动画里的一模一样，就是有一点，五小强也太弱了点吧？？完全打不过那些渣渣黄金啊。。。不过要是小强太强了估计还是会有人喷，就这样吧，也别太屌炸了

324: 明年就是《圣斗士星矢》在jump上连载的30周年，星矢快要30岁了，我们也和星矢一起长大了。打开游戏听到主题曲的一刹那我感慨万千，无数童年快乐的情境浮现眼前，谢谢，这是给我这一代人最好的礼物。

325: 体验一下游戏还行，大哥，麻烦优化下好吗？里面的按键点半天到处乱跳

326: 说好评的大部分都是孙子来的，也不怕家里死人。说差平的才是玩家玩过之后的经历，要相信就相信玩过的人吧。好平的都尼玛是孙子！！

327: 玩是可以，就是老卡机不动

328: 为什么进不去游戏了？！

329: 今天为毛上不去？？？

330: 老是卡在那，不要说手机问题，我玩3d的都没事

331: 非常不错啊

332: 垃圾！！！！！！！

333: 还不错 挺好玩

334: 不知道好不好你们谁知道这个游戏好玩。说一下嘛。

335: 其实玩进去就也还可以

336: 好无聊啊

337: 很好玩   送了我很多钻

338: 画面挺漂亮的。

339: 用的来说来不错

340: 很可惜，玩不了。 在验证版本界面到达100%后闪退。

341: 这么好的IP给浪费了。

342: 新手加入

343: 晕， 好评 差评里都有托啊。！！！！！

344: 总之感觉还不错

345: 游戏很好玩!

346: 画面做的很炫，可见用了功夫！

347: 画面很给力!

348: 好玩，这下福利多了，希望继续！

349: 不错哦，推荐大家玩

350: 崭新的玩法!

351: 优势还是很大的，毕竟玩过好多游戏。

352: 新手给的东西还不错

353: 玩上就没话说了

354: 期待很久了，我也想参与

355: 还好，可以玩

356: 画风不够可爱，有点偏写实了，不过玩法还行

357: 很好玩的游戏，每天抽点时间就可以了

358: 好玩不解释!

359: 最棒的手游，更新后觉得算不错了

