1: 、“'
319: 好玩

320: 蛮不错的，最近还喜欢玩款免费的焚天战机，特别好玩!!

321: 蛮好玩的呢

322: 突然闪退了。

323: 进不去,没发玩

324: 进不去

325: 不好玩

326: 太尼玛的坑爹了！！扣费很萌啊

327: 好卡，自退，大家别下

328: 死机，不能下

329: 挺好的，最近一直在玩款免费的焚天战机，很好玩!!!

330: hehao

331: 游戏会自动退出请大家别下载

332: 我那个去进都进不去

333: 掀起个屁热潮，这种国产动画还做游戏

334: 感觉还不错，大家也喜欢我昵称提到的

335: 挺不错的，最近经常玩款焚天战机，免费的很好玩!!

336: 我顶

337: 虽然我玩的时候手机特别卡，但是我觉得这游戏真心不错

338: 跟我玩闪退，不想活了你，太生气了

339: 挺好的，最近一直在玩款免费的焚天战机，真的很好玩!!!

340: 神马玩意儿，跟我玩闪退

341: 太好玩了，不过能不能不要钱

342: 体验快乐，看我名字就知道了

343: 不错

344: 好玩，很惊喜，因为一到后面都有不同，就是总是卡，一卡就死掉了，很难玩到很后面，对决总是输

345: 点了好几下，都自动反回。

346: 挺不错的，最近一直在玩款免费的焚天战机，很好玩~~~

347: 太卡了，一进去就闪退

348: 真是差中的差。

349: 闪退

350: 超好玩

351: 太好玩，就是有点简单

352: 一点都不好，总是卡，还浪费了我20钻石，太差了，立刻卸载

353: 垃圾啊不好玩

354: 用啥可以改

355: 闪退，完全没发玩

356: 挺不错的，最近还喜欢玩款免费的焚天战机，很好玩!!!

357: 坑爹的游戏,我下上让我家孩子玩,但一下子出来了一个弹幕，孩子一不小心点了，结果30块扣了。想钱也想疯了。果断差评不用说。马上卸载。

358: 一动也不动要钱进也进不去

359: 这个游戏刚开始还能进去，后来就不行了，老闪退，手机都卡死了，真的是垃圾死了！

360: 一点都不好玩

361: 闪退，根本进不去

362: 垃圾游戏

363: 好玩你麻痹，下载给孩子玩按错键，收了12元！连尼玛是否购买的确认键都没有！我想扣就扣了，至少买东西了，1200点，满级神什么鬼！稍不留神，又跳出来付费的页面！你麻痹坑人玩意！同样是跑酷游戏，跟人家神庙逃亡，地铁跑酷学学！就你太垃圾！

364: 挺不错的啊，还发现一款免费的焚天战机，感觉很好玩!!

365: 特别差！

366: 动不动就收钱

367: 听说赞别人可以领金币嘛

368: 卡里不管玩,不是手机的问题,用两个手机都是在同一个地方卡,希望能改善一下

369: 不错，最近还在玩款免费的焚天战机，真的很好玩!!!

370: 麻痹闪退

371: 重名好麻烦

372: 游戏之后的都是去玩这个了

373: 要钱吗

374: 不错啊，最近还喜欢玩款免费的焚天战机，很好玩!!

375: 为什么不能支付话费

376: 四核手基本上不会卡，还箅可以

377: 超好玩

378: 非常好玩

379: 打不开千万别下

380: 不错，最近和朋友都在玩款免费的焚天战机，很好玩!!!

381: 烦。。。打不开

382: 真的

383: 这个游戏真好玩。

384: 打不开，黑屏。

385: 好玩吗？

386: 还可以，就是玩着太卡了。

387: 挺好的，最近还在玩款免费的焚天 战机，特好玩

388: TMD老子到现在都还没玩过一次

389: 差评，从我下载到现在就没耍到过，每次都被弹出来了

390: 不好用？来吐吐槽姃博士吧~

391: TMD卸载不了

392: 下游戏之前看看大家的评论，在决定下不下，这个游戏千万别下，坑爹的

393: (*@ο@*) 哇～

394: good,like .

395: SBSB太SBSB了

396: 做这游戏的人太黑了！！！！！！！！！！！！！！

397: 不知不觉话费没了

398: 真是太烂了

