1: 245区，幻音坊急收人啊。求伙伴
160: 升级太慢了太难了。215区至今没有过60的，好东西太少了，积累什么的也太少了。太靠RMB和VIP了吧。升级一颗星感觉要半个月！一次给那么点就。

161: 我在新区215开了个账号，没玩几天就发现登不上去了，对这游戏真是挺失望的。

162: 进不去的是你自己的问题

163: 进不去是什么鬼。。。没服务器列表。。

164: 为什么现在用数据流量不能登录了

165: 太垃圾了，服务器进不去，，，什么玩意？

166: 软件太大了，而且配置低的手机玩起来很卡，很耗电。

167: 垃圾360，大家不要在这个平台下载游戏，出了问题就让你留联系方式然后就不理你。

168: 我投诉。

169: 为啥进不去

170: 进不去

171: 完全没问题啊 为什么那么多人装不上啊，游戏画面做到挺好的！

172: 我更新了游戏，发现进不去，那我就卸了游戏重装，忘记以前是那个区的了，现在有办法找回以前的号吗？

173: 为什么玩没多久就闪退？还有为什么玩起来卡卡的

174: 之前说要给的补偿礼包呢？

175: 为什么不能安装在SD卡上

176: 我之前玩的服为什么不见了

177: 玩家您好，我们正在积极排查并解决问题（呵呵），请告知您设备机型（山寨机），您可以留下您的联系方式（谁敢留？没学过社工么），请保留您的游戏截图（截给谁看。。。），我们将会联系您（我不信）。或者您直接联系我们客服同学（同学？！），客服QQ4000688900（只是好奇多少钱买的），客服电话4000688900（打过了），谢谢！

178: 请问此游戏不花钱能玩吗？只有购买道具才收钱吧？

179: 什么时候能充值返利啊！

180: 我在更新那天由于360平台没拿出解决方案没得登游戏。从中午一直等到第二天中午。这一天的损失你们居然没提。少了别人3管体力还有过多积分什么的，严重影响我的游戏体验，没有什么补偿么。

181: 玩家您好，我们正在积极排查并解决问题，请告知您设备机型，您可以留下您的联系方式，我们将会联系您。或者您直接联系我们客服同学，客服QQ4000688900，客服电话4000688900，谢谢！
 只能呵呵

182: 游戏挺好玩的，就是最近更新之后一直卡在切换界面，刷不过去。

183: 游戏还行，还在玩中，就是不能切换界面，切到别的软件界面，想再回到游戏中又得重新登陆，很麻烦。。。。

184: 本来还想下载玩玩，我靠一看基本差评，算了我还是玩其他游戏吧

185: 破游戏老是闪退 有人给解决吗？充钱了玩不了

186: 玩了2个月的不良人 没有遇到什么上不去或许卡机的 别说我是托 只是360的礼包一直都很少 别的客户端送的礼包都挺多的 希望360多出几个礼包吧 我已经玩了360好几个游戏了

187: 游戏好玩是好玩  为啥总闪退   能不能解决一下  因为闪退损失很多东西了

188: 为什么更新了不良人之后，进去的时候到选择区的时候，总是退出啊！。。。总是这样，还怎么玩儿呢？

189: 到底什么时候解决？不要总是推卸责任！天天上不了游戏！玩什么游戏都没问题！唯独不良人闪退，进不去！不要说是玩家的手机有问题了！当我们玩家都是傻帽吗？

190: 到底还能不能玩啊，一直选不了区，还一直停止运行

191: 现在都不敢回复了是吗，你们360就这么垃圾是吗，你这样叫人怎么敢在360下载游戏，真他妈后悔在360下载这个游戏。出来说清楚啊360死光了吗？

192: 给我个解释为什么一直闪退

193: 以后绝对不在你们360下载游戏了。破玩东西

194: 你们360都是骗人的，一出问题就说查不到资料，拖时间就是你们的解决办法

195: 垃圾的很，可以安装了，到闪退，不要说手机问题，别人家的游戏没问题，就你家的特别，再好的游戏，遇到猪一样的公司也是无解。88删除游戏，以后也不玩你公司所有的游戏。

196: 总是用户登录失败是怎么回事啊 这都好几天了 还能不能玩了？

197: 四五天时间，今天能玩了。但是这期间该领的福利没领到，也没玩到，等级也没提升。这个损失怎么补偿给玩家，不能没动静啊。求解释！！172区

198: 什么时候能解决问题？不能解决就算了吧

199: 为什么闪退？

200: 华为荣耀6可以安装了，能安装也没有一个提示！

201: 试了好几天终于可以安装了，勉强给个一星。之前装不上的同志可以试试。

202: 玩家您好，我们正在积极排查并解决问题，请告知您设备机型，您可以留下您的联系方式，我们将会联系您。或者您直接联系我们客服同学，客服QQ4000688900，客服电话4000688900，谢谢！

203: 这个应用真的好的不得了，大家用用看

204: 还能不能玩了？

205: 还是不能选区。这么多天了。

206: 好玩是好玩，就是总是闪退，内存还足够

207: 真棒。。。

208: oppo r829t可以安装，但是一到选择服务器界面就闪退了！这么多天玩不成！官方会如何弥补玩家的损失？

209: 挺好的

210: 不错的一款

211: 非常好的

212: 这个不错，好玩。

213: 垃圾

214: 很棒，顶

215: 不错，好用

216: 说不好用得真没良心

217: 一般般

218: 好东西

219: 草泥马赔钱垃圾b

220: 还好

221: 换个平台下游戏了。不玩360的了

222: 和电脑一样     爽！！！

223: 一般般

224: 马勒戈壁，我赵日天又回来了，啊哈哈哈哈哈

225: 还可以的嘎啦！

226: 不能错过的好东西

227: 还行！

228: 360u开头的帐号死托，继续刷屏啊！

229: 用着感觉特好，

230: 給力

231: 嗯！蛮有创意  不错  不错

232: 玩家您好，如果您有任何的建议或者意见，欢迎联系官方客服同学：客服QQ4000688900，客服电话4000688900，谢谢！

233: 不错不错~

234: 还凑合吧

235: 很好！！！

236: 很好用，不错

237: 雅!!!

238: 作为一款安卓操作系统的手机，更跟普通手机相比安卓操作系统手机好电量非常大的，这个软件很不错！

239: 相当可以，不错，强烈推荐！

240: 很好用 就是更新時有點慢

241: 好模糊

242: 好的很啊！

243: 马马虎虎。

244: 试试看吧

245: 挺不错的

246: 我用是可以地！

247: 不错

248: 人物设定还行，运行挺流畅的。希望多多加油吧，毕竟是一部好动漫。

249: 好玩，比我以前玩的游戏好玩多了。

250: 游戏画面很棒，PK很爽!支持！

251: 装都装不上，用水军来刷好评，死全家

252: 人物和画面美哭了好吗？

253: 不错游戏，画面精美，卡片经典。。值得玩。

254: 从来都是潜水，必须来给个好评，游戏简单易懂，超级好评！

255: 还不错~~~

256: 棒棒棒，强力推荐！！！

257: 太好玩啦！我很爱玩！

258: 画面好，音效好，可玩。

259: 这游戏太好玩了

260: 一天是不良人，一辈子是不良人。

261: 一路看过动漫的来过！游戏一定要玩玩。

262: 这么好的游戏，不顶简单是没天理！！！顶顶顶......

263: 我手机是 huawei G7 装不上游戏啊

264: 画面超赞,运行流畅,动作带感,音效很棒,玩法有趣

