1: 太筒單了，一下子就過去了。人物還這麽醜。
515: 杨洋好帅啊！同时也支持旋风少女这部电视剧和游戏。这个游戏很好玩，大家多多支持

516: 为什么登录验证失败？呜呜

517: 好好

518: 老闪退，进了就要重新玩

519: 是不是网络游戏

520: 好玩

521: 好玩

522: 打开它就退了

523: 不错，不错，可以玩玩

524: 为毛要清理小广告啊！

525: 好玩

526: 为什么总是闪退。。。

527: 好玩，冲着百草来的

528: 很好玩捏。。好玩！

529: 临时维护十分钟……

530: 不好

531: 临时维护10分钟吓哭害得我搞了那么久←_←

532: 还没开始就闪退，谁知道怎么回事

533: 超好玩！！！！！

534: 进不去    加载慢

535: 老闪退

536: 手机很卡  但是游戏特别好玩

537: 说不好的是玩不起

538: 杨洋男神

539: 电视剧更新的好慢，但很好看，我觉得手游也很好玩

540: 唯爱杨洋～～(๑• . •๑)

541: 为什么打不开

542: 怎么更新后这么卡

543: 为什么更新后又要重新开始玩？

544: 杨洋太帅了

545: 为嘛更新得这么慢

546: 我下了为什么不显示在多少区？   点了开始之后显示更新了   需要更改30分钟！

547: 进不去，不好。

548: 为啥进不去

549: 好玩吗不是卡牌手游吧？

550: 总是闪退，但很好玩

551: 好玩

552: 好玩

553: 这个游戏要网络吗？   
我喜欢里面的迎风夫妇，你们呢？

554: 进不去,每次加载到62%

555: 我为什么下不了

556: 什么时候成真人呀

557: 好玩

558: 好看又好玩，坐等更新。

559: 比花千骨还要好看，天天坐等十点

560: 太好玩了，不过我就瞎点点，嘻嘻～真心可爱^ω^

561: 不错，五星。说不好的是你手机有问题。

562: 又慢还总闪退还卡

563: 这个游戏需不需要网络？

564: 为什么总是闪退

565: 自从看了这部电视剧，神马电视剧都不想看了

566: 我想知道为什么百草头发是紫哒

567: 为什么刚打开到一半就自动关闭

568: 总是闪退

569: 总闪退

570: 很好玩，喜欢陈翔的赞一个哦(ง •̀_•́)ง

571: 好玩就是好玩，但是老闪, 大家不要下。

572: 总闪退

573: 不好  烂游戏

574: 为啥总是闪退 

575: 他妈的，一点也不好，点很好的那些人脑残.........

576: 真好玩！

577: 好用！说不好用的是自已手机不好

578: 好玩是好玩，可是经常卡带！

579: 又闪退大家别

580: 我靠，，老是在打完秀琴的时候闪退。破游戏

581: 为什么进不去

582: 非常好玩，我也很爱看这部电视剧

583: 太好玩了，建议大家下载去玩

584: 还没打开就闪退，，

585: 老闪退，不好用！

586: 棒棒哒

587: 你妹的，玩不了啊！

588: 一直闪退

589: 很好玩啊！顶顶顶！

590: 闪退

591: 去问问委曲求全钱钱钱钱

592: 我每次都是刚刚好过关就闪退了，， ，无语死了

593: 登不进

594: 为什么我登不进

595: 玩着玩着就无聊了

