1: 此游戏开发者确定不怕天美叫你上法庭？
457: 他扔的叉子 和冰块都可以跳起来接到！炸弹不要接！

458: 蛮好玩的，画面挺精致

459: 为啥我打不开？

460: 玩到第四关了，三星才能解锁通过，无尽模式更好玩。

461: 里面的画面和小时候看的动画片很像，满满的回忆，Tom还是那么怂

462: 为什么捡到冰块后会被冻住啊，不捡也不行，求破啊！！！！

463: 很好玩，有的老鼠会三连跳和滑翔的本事

464: 那个调戏BOSS玩法是神马？？就是Jerry在跑的时候可以发射武器攻击Tom吗？？无尽模式里，Jerry兴奋值满后，也可以反过来暴打Tom的，究竟哪个是调戏玩法哦

465: 看猫和老鼠时最喜欢小泰非了，这里也有，技能比Jerry牛逼多了

466: 我靠，原来捡到冰块和炸弹必须尽快扔掉，不然会被冻住或炸死，捡到骨头扔掉可以让大狗过来打boss，很好玩

467: 很流畅  画面很赞，和动画里一样、

468: 六一是IOS版公测，安卓版要等到6月8号才公测，很有童年的感觉，80后果然老了。。

469: 童年记忆啊

470: 有趣的游戏，正如PP梧音上面有趣的妹子一样，让人迷恋！

471: 重装后存档丢失怎么办啊

472: 不管怎样，童年美好的回忆啊。。。。。。

473: 为毛跟新后还是闪退啊？求解

474: 好极了，闪退是怎么回事？童年最爱看的动画片，点个赞吧

475: 打不开闪退千万差评

476: 总体还行吧，可是因为还有跳跃距离和着陆点设置不合理的问题急需解决，所以目前只给三星，望解决，不然只能遗憾卸载了……

477: 感觉很好啊。就是太费钱。

478: 太多要钱的了

479: 复活键安排在跳跃键附近，真是良苦用心。

480: 童年记忆啊

481: 这是有猫和老鼠授权的吧，和原版动画很像

482: 为了童年的小伙伴，必须来一发

483: 总是被夹鼠器夹住，晕死

484: 画面很漂亮啊，奶酪都和动画片里的是一样的，不怎么卡

485: 想到了小学时在家偷偷看猫和老鼠的日子，游戏里的角色、道具神马的，和记忆里的一毛一样，忍不住又搜了几集看看

486: 是单机的，每日竞赛需要联网，奖励很丰富

487: 安卓的啥时候公测啊，去官网领礼包吗？？

488: 原来遇到盘子时点左边攻击键，就可以打Tom了，还有接住冰块后要在三秒内按左键扔出去，不然就会把自己冻住，gameover了。。。。血泪教训啊。。。死了四五遍才发现

489: 除了杰瑞，其他的小老鼠都是随身带了技能的，泰非很好用，会三连跳，还带了磁铁模样也最可爱

490: 都是钱

491: 一看是雷火出品就知道是个坑钱玩意……毁童年

492: 挺好玩呀，如果你的手机出现闪退，或者卡屏的情况，就证明你的手机有问题，要换手机

493: 为啥更新后有闪退了？

494: 谁知道要怎么给老鼠换名子

495: 游戏还好

496: 看到四张图闪退！！！！

497: 进不去

498: 说闪退的都是什么人  机子不行  别怨游戏  这游戏起码比天天酷跑好玩  就是互动太少  地图太少  让我太少 希望以后加强

499: 闪退的朋友请到权限里点开猫和老鼠 定位 读取应用信息 允许就可以了，这点比较坑，第三次才发现。

500: 作死的跑才跑了140多万分，排名70多名╭(╯ε╰)╮

501: 可以。和动画差不多。但角色购买太多钱。。

502: 很好

503: 开场动画第四张图完美闪退，正准备卸载发现要更新了，所以准备先更新看下，如果不好玩，在卸载也不迟，给2星把，开场动画就闪退，给2星不错了

504: 闪退

505: 童年IP是个什么鬼。。。确定不是CP么

506: 看见四张图就闪退，求解

507: 加载后跳完四张图就闪退了

508: 打不过13关，老是被夹到！

509: 无限闪退。。note2路过。。

510: 四图闪退    2天了  还没好？

511: 闪退2次，已卸载

512: 昨天下载一次，闪退，今天重下一次，闹挺2依旧闪退

