1: 为什么一开数据登陆360账号就老闪退，为什么为什么，
262: 挺好的玩的，忠实粉丝。但是就是希望赶紧更新。不要再横屏乐

263: 有过282关吗：教教怎么过虐死了

264: 很有意思，不过等我的三星note3手机更新到安卓5.0之后，一打开软件游戏开机动画一直到出现游戏开始按钮显示之前为止就突然退出啦。能不能支持5.0版本的安卓呢？

265: 挺好玩，喜欢，最近同时也喜欢玩一个都不能剩，还不错哦

266: 加载死屏打不开，

267: 花了好多钱，~~~~(>_<)~~~~

268: 终于知道为啥以前下载后删掉的原因了！加载中死屏!玩不下去!

269: 还有，屏幕重力感应老瞎转，应该改成自己设置好些。

270: 本人没花钱也玩得挺好的吖，熟能生巧。卡在夏日关卡145关了，求指点。还有好友系统什么时候回来？

271: 好烦。冬日的77关我都几天了还没玩过。怎么办。气死了。

272: 44关卡着过不去，好难啊！

273: 很难！但动画很不错，还有，为什么联网就闪退，只能单机

274: 太特么难了，90关以后不花钱买道具过关就别想了。

275: 捞钱吧，难度比其他版本高很多，人家比如消10个就能过关，他这里就15个，故意让你买道具，都别下

276: 冬夏所以关已经全通，求更新

277: 这个游戏可能是要完蛋了，第202关，我早上玩的时候发现要唤醒10个地精，非常惊讶，因为记得之前比这个少，以为自己记错了，现在再玩这一关，发现又变成了6个！

278: 夏季关卡的40关怎么过？

279: 中文版为了圈钱真的是脸都不要了，好多关都把原本英文版的游戏调高了不止一点点

280: 自从更新后，总是自动旋转屏幕，躺着玩的话就变横屏了，很不方便，玩缤纷乐就不旋转，希望改进，但这个游戏很好玩，一直都在玩

281: 快点更新！

282: 做游戏的哥们儿可能一躺上床就睡了，没在床上玩过手机，所以才想出的屏幕自动旋转。

283: 21关好难哦,不过这个游戏也很好玩的。

284: 真是够了   更新之后道路那些都没了   害得我一直卡在202关。

285: 搜合买版下载中彩票应用，目前发现唯一可以正常手机购彩的公司，信誉非常好，推荐使用这个。

286: 能不能取消自动重力感应功能，躺着玩的时候一动就转方向乐，真的好不方便！而且游戏切换关卡什么的斗很慢

287: 很卡，不好玩

288: 冬日关卡没道具的话基本都过去，呵呵

289: 妈的，想卸，就是想坑钱的，不用道具无法过关。好友也删了，想问还想继续吗？

290: 刷机后要从头开始，为什么等360用户也要从头开始呢？求解，伤不起

291: 啊啊啊啊啊啊啊刷机了之后重新下来玩要从头开始，能不能恢复阿？求回复，真心感谢。

292: 哭瞎了，我手机刷机，都通关了在下就出头玩起，能不能恢复我的关卡阿？

293: 越到后边越没法玩尤其是圣诞和新年关不用道具根本没法过，不过前边还不错，音效很棒。

294: 什么时候更新呀~自动换屏太不好用了

295: 好玩，就是不用道具不容易过，音乐很赞

296: 很容易死机！！玩到一半的时候手机总是黑屏！！！！！！！！

297: 闪退快解决

298: 狗比啊，闪退，草泥马的

299: 好耍  但是安卓上自动旋转  躺床上玩的时候很烦躁  希望设置成自己调节是否旋转

300: 为什么不能用其它的角色？

301: 为什么人物不是自己选择？我想当艾莎。

302: 还可以啦，不过人物和背景都很漂亮！特别是切换到夏日关卡的时候冬日关卡就解冻了，很逼真，跟电影里的一模一样！冰雪奇缘就是好看！

303: 躺在床上玩的时候被自动转屏搞得快疯了= =可不可以改成自设啊

304: 超赞的一款游戏，很附有挑战性……里面的人物真漂亮！

305: 太简单了，太慢了，太小儿科了。给个星算不错的了

306: 更新完打不开了怎么弄啊，200多关啊

307: 为什么不能用户登陆了，点进去没有登陆按钮，之前的都没有了~~~~(>_<)~~~~

308: 已玩到夏日缤纷了，可是什么时候才有好友，什么时候可以不转屏，这是要让我们等多久啊？？？

309: 之前就对五颗生命心的消耗感到怀疑。这回进游戏，游戏结束不退回大地图，输一盘记一次，输到第三盘五颗心就没了。呵呵！

310: 为什么每天的抽奖，总是好几天才抽一次！我家里是无线网，一直都是联网的！好友什么时候才能恢复？不耐烦了

311: 好慢啊！

312: 下载中……

313: 会自动卸载的游戏 我还是第一次见

314: 总闪退是

315: 更新以后老转屏 一点都不方便！！

316: 为什么存不了档，每次打开都是第一关？不像小黄人有网络档，换手机玩还可以玩自己记录

317: 很好(您的赞美就是给作者最大的回报，觉得好就表扬TA一下吧。

318: 看看还不错《》

319: 更新后总是闪退，快疯的节奏

320: 一点不好万玩

321: 不好，屏幕老是转，不好

322: 不断转屏，各种领不到每日奖励，这是逼人卸载的节奏啊！！！

323: 闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退闪退，是不是只有我的闪退

324: 快快更新吧，好友快点回来，每周的排名还能获得奖励呢，卡到283了。。。还有两关，让我见见夏日关卡可好。。。。。。。

325: 更新后闪退，求解

326: 坑货！更新后简直坑！各种问题，然后卸载后重新下载，结果所有道具都没了！！！

327: 打不开！闪退！！！！！！！！？

328: 有人进入夏曰关卡吗？

329: 可以玩，挺好玩的，就是耗电挺重，而且手机玩一会儿就很热了，一样改进一下～

330: 好玩

331: 为什么老转屏啊……还闪退……再有关卡根本没有什么新的………太骗人了,……汗……求快把这些漏洞修好吧

332: 不敢更新的只有我吗，被更新伤害太多次

333: 怎么抽奖都没了？？？

334: 骗子！冬日关卡根本没有什么新玩法，和以前一样！

335: 怎么不保留数据

336: 打不开怎么回事

337: 打不开啊！求解决，急

338: 冲到了282了

339: 怎么下不了啊

340: 怎么登陆不上去？我一百多关啊！！！！！求解决

341: 更新后怎么进不了，三星，望及时解决

342: 没有以前好了。。。。

343: 什么时候更新牙

344: 40关怎么过啊。。。140个球只能走20步太坑爹了。。。。

345: 怎么登陆啊，以前的记录都没有啦

346: 有人觉得关卡有bug吗？明明要消70雪球 步数只有40！关键是每一步还只能掉一个雪球下来，，连击也只掉一个，，跪了！！！

347: 不仅好友没了，我的连每日抽奖都没了，越更越失望～

348: 更新连进都进不去了，晕死！三星

349: 三星手机闪退啊

350: 有一关明明以超高分过了居然显示我不过我也是醉了，关键还用了雪球！浪费我感情浪费我道具坑爹

351: 好玩力力荐

352: 三星，闪退！！！！！！

353: 为什么那么多人闪退，我就不会啊，都在玩

354: 我也是三星手机，更新后不卡还可以玩，挺好的

355: 怎么都说进不去？我就一直玩儿啊？三星I9300

356: 闪退啊！！！！！！

357: 为什么更新后闪退啊！求解

358: 更新后闪退，还不如不更新呢。

