no.	id	content
87	一期一会	看了片花。先收藏着。喜欢霍建华
88	饕餮小宝	讲真，谁在乎剧情讲了神马！！！特效已经很良心了，服装和演技杠杠的，最重要的是华叔就是我心中的白子画，赵丽颖萌的不行啊～～就是我心中的千骨～～已经转粉了～～～
89	道臣岚	片花不错英文版简直调戏我…俩主角找对了人但是那个漂亮姐姐是个什么玩意？
90	小小玛丽奥	我的妈呀，霍建华美得成仙了
91	道人爱拔叔和堺	一颗星给演员，一颗星给大广西。但是动作指导是吃了翔么？为嘛大家放大招的时候像偷跑出精神病院的病人在自high？妆画得差本来就没仙气了，现在来这么一下更是不敢看了
92	落小	瑕不掩瑜，仙侠剧算是很好的。
93	乐如叶子	一个星期播4集，典型的湖南卫视，没有心情再看了，因为这个打一心
94	水蜜桃汽水	我是专门跟打一星的人做对的！虽然有被开场盗用蜘蛛侠里的名言“能力越大责任越大”惊到，但就剧情来讲真的没有想象中的那么雷，节奏也不错，可以看的下去！再则可能是赵丽颖演的缘故，所以不讨厌，要是换个很装的女演员演我应该早就吐了
95	七	没看过原著，不好对比，却也更容易接受。最近出了那么多万古罕见的奇葩国产影视作品，看的都神经衰弱了，出来的这样一部电视，从演员，置景到特效，虽称不上精致，但依然算得起良心，应该鼓励！不是霍建华的粉丝，但不能否认，经过《战长沙》和《镖门》的历练，其演技确是越加纯熟了，剧中大有仙风道骨
96	九月的秋刀鱼	无聊的时候看了下片花 赤裸裸的玛丽苏剧啊 “男主男配都爱我 女配都恨我”系列 女主傻白甜真的很蠢啊（贬义） 男主一开始就对女主痴汉样 这是要闹哪样啊
97	独看枫叶丹	可惜了，颜值那么高的男主和文笔不错的剧本，拍成这样！
98	群星的尽头	为抄袭打两星，为脑残粉减一星。
99	短毛北極熊	忍不了了忍不了了霍建华拜托你能不能不要接这种烂剧可怜可怜你的脑残粉好吗…可怜了美貌的男配东方哥哥还是蛮萌的可是这剧实在是看不下去啊
100	NeedXuyao	居然5星的比例最多，豆瓣人多了果然也是一个样子，水军和脑残泛滥。
101	像晚风一样自由	我是来拉低评分的，玛丽苏女主实在令人无语，情节各种不合逻辑
102	clover	跟于妈片一个类型的，不想再看
103	taoxinxu释凡	看了几集，没劲！估计马景涛《东游记》特效跟这比都神作了，魔幻玛丽苏师生恋，特效五毛、怪物爆假、激光乱舞没救了，桂林山水影像唯美浪漫！霍建华仙风道骨白子画，赵丽颖卖萌奇女花千骨，马可杀姐姐惊艳抢戏
104	夏地板	54集。。。
105	sasa	"等了一年了，终于播了！
霍建华好帅，虐恋情深好赞哈哈哈哈"
106	天水讼	广电能不能改改，鬼怎么了，为什么非逼着我们打小怪兽！！！！！！！！！！！！！！！！！！！！！！
107	神弈	非常期待。有大片质感。
108	★☆端木蓉☆★	先让我刷个二，原著党光看预告就已经觉得要瞎了，那个绝情池水造成的伤口！！！是SHEN ME GUI！！！唉。。。看了片头曲就不想看了。。。特效能不能给点力。。。这部剧又没有政委，如何坚持下去
109	_blank_	是该说当年的白豆腐长残了，还是原作本来就雷、改成真人版更雷……
110	cindymoon	我是看了小小白cos后觉得，难道没人觉得霍建华演得有点媚吗？！
111	.	因为好奇瞟了一眼，开头那句“娘子你怎么了”+Diablo小怪物+不会御剑的“上仙” = 拜拜吧您嘞
112	步履不婷	太难看了！！！！！！
113	Vivaldi	唉，预告是用来装逼的，只可惜失败了。这种早几百年就不流行的言情小说现在还在拍电视剧我也是挺无语的。霍建华，我很奇怪啊，在这剧里怎么成一坨了呢，油头粉面的什么鬼，对国产言情剧实在不能忍，对玛丽苏不能忍，所以我放弃，债见～
114	浴巾小天使	一星是给我老公的，老公我对不起你，看了一集……
115	朝日始出	冲颜值给先给5分
116	帆儿帆儿菇凉	原著侮辱人的智商 电视剧更侮辱人的智商
117	夜未央	因为听了“不可说”还有被一张白豆腐的剧照秒杀而来。开头那sb一样的独白和配音我也被秒吐血。没看过小说，但听别人八过，是和总裁文没什么两样的玛丽苏文。特技也真是够渣，一分钱特效，敢不敢来个一块钱的特效？不要说什么没看完就别发评论，麻痹，看了十来分钟，就让人看不下去了，这样的电视剧有毛
118	Johnson	这也6.2，看来傻逼们也都知道上豆瓣了
119	边	95后和00后已经抱团取暖打高分来了，，小心。
120	栗子	我是霍建华的人品粉，我绝对不承认我是冲着颜去的，尊上好仙带我飞
121	宽袖	这设定，简直活脱脱妖仙虐恋版哈利波特嘛！逻辑各种渣，白子画是通透出脱的仙人不是性冷淡胖道士啊摔！
122	未来惑星！	虽然难看，可是霍的老脸我还是觉得帅
123	优优琪	等了那么久 10分钟弃 什么鬼 霍建华脸再好看也救不了
124	Lilyace	看完盗墓之后觉得花千骨值4星 至少制作精良 引人入胜 演技不尴尬 其它就不好要求太多了
125	浦原浦原	看了一集吐了，受不了廊坊小妹的做作演技，受不了和古剑奇谭不相上下的垃圾特效，更受不了剧名是花千骨但完全是另一个脑残故事的傻逼剧本，霍建华接这种片是不是瞎了？
126	筠	5分钟果断弃剧
127	silkle	玛丽苏小白文的原著也超越不了
128	雪	不要再尝试看这种剧了  我的头呀  应该是老了
129	woailaoyumi	什么鬼
130	Nympheta	台词是雇佣中学生课间写的么
131	L·Lawliet	"作为入了晋江六七年然而从没在那看过bg小说的表示最起码华哥又唤起了点少女心阿，而且从目前剧情看我每周的期待度也都超过了古剑奇谭(●′?`●)没错这几年来我总共看的国产剧也不超过5个…也不太了解现在的趋势，
总之就算不是为了看霍建华我也是能看完这部剧的吧"
132	曹大大	因电视而看小说，因小说而弃电视
133	?女夷	不管怎么说都比古剑那个五毛钱特效好。。
134	土豆	书看过一点，没拍出那种感觉，本来很期待，书雷人但改编拍得好一样吸引，霍建华那有多少仙气，那渣渣场景，还心之火，只有华妃凉凉依旧霸气。
135	skycrack	为了赵丽颖和霍建华也必须五星，更何况，水墨风格的色调喜欢到爆！
136	#SHA5Ne	我吐…没事闲的看什么国产电视剧我真是脑子里进水了
137	酸酸	看过书，男女主颜值颇高，我中意。剧情本来就是玛丽苏文，不喜欢别看就得了
138	Dotz	看过原著 却觉得电视版不差甚至合适
139	用心聼	负分滚粗
140	将NM的军啊	"傻白甜
装青春
脑残
90后
剧情呕吐
偶像剧无演技
被迫陪媳妇看的"
141	麻麻-Ting	槽点很多，但是会看下去，打发时间呗
142	GaaaalaLoooola	可是你早就不是我师傅了。而你永远是我徒弟。莫名想起来 你大妈已经不是你大妈了，而你大爷永远是你大爷。
143	小R被攞命	除了特效和道具烂一点，其他都挺良心的啦。赵丽颖演技比幂唐诗好多了，霍建华更是万年不倒男神么么哒。
144	小f	难得，挺有趣的。。后面好水，减一星
145	可乐的可	好喜欢杀姐姐
146	嘟肥肥	有快进真好。结局太惨了，花千骨最后会死掉，白子画会再次承受失去爱人的痛苦，痛苦之后他还得继续过活，直到几千年后，他遇到了玉儿，玉儿死了，他又遇到了月牙，当然月牙也死了，哦忘了说了，后来，他更名为无心。
147	风的影子	受不了女主那装傲娇的声音，真的很恶心，我室友看，我被听。有话不能好好说吗，非要那样。
148	无力的丸子	虽然最后一集被剪的体无完肤，但是还是哭晕了，果然这年头还是虐虐更健康，收视节节高。赵丽颖的演技毋庸置疑，把小骨各个阶段都演的层次分明，特别是那眼神，真的不是靠鼻孔演戏的大幂幂和45度角低头状的唐嫣可以比的上的。华哥，华妃还有其他演员也都棒棒哒！
149	遥遥	霍建华和赵丽颖演出了白子画和花千骨的感觉。颜值演技都棒棒哒！张丹峰的东方也很有感觉！但画骨夫妇两甜蜜戏份太少，后半段进度太快，故事情节没交待清楚。尤其给结局的剪辑跪了，许多重要情节本应浓墨重彩的渲染却一带而过，难成精品。期待完整版。
150	花轮君	追这种剧我也是生无可恋了，然后，小骨跟杀姐姐搅百合真是大法好。华哥颜值跌到谷底了。
151	麻海藻	虐得好
152	Sehunnie	请国外的特效师，我就预感大事不妙，特效与整部剧的调调非常的不搭，国外特效是做得非常好，但也没领会我国仙侠风的精髓，所以瞬间沦落为五毛特效
153	Shudoku	哎呀好难看
154	陆支羽	工作时间看不了电影，只能听听电视剧，所以今天听完了58集。
155	Apiooo	就不说啥了 都成脑残粉了
156	島民盼盼	为何评分这么差 小霍演技依然是赞
157	kiniko	为了老霍，给这玛丽苏苏到天际加个星。
158	大麦麦茶	很不错的啊 画面也很美 演员养眼
159	因为孤独的缘故	居然有6.2？
160	OD	2015年最能入我眼的古装片。比较有诚意（看之前评的） 男主太傻比脑残这剧情我真是日了狗女主能不作吗（看之后评的） 三星半。
161	多巴胺小人精	三星霍建华，一星各演员演技，要不要等更完再看呢。。。
162	sea	其实并没看多少，只是老妈在家没事做看电视剧，真的觉得这是一个可怕的时代。
163	神山樹	是身如梦 为虚妄见. 我不想吐槽狗啃一样的剪辑 看过就算完事儿了.所有的星和爱给杀姐姐.
164	wenjingbaba	一出来就被特技感动得七浑八素的，两秒钟之后才发现之前实在太天真，惟有智商才是亘古不灭的催泪大杀器。
165	宁宁	本来不错的剧，硬是拖成了狗血……结局那几集很烂尾。
166	漫苒	结局的亲密度让我来回看了好几遍，算是全剧最幸福的几分钟了
167	37°2	只看了第一集和最后一集，厚颜无耻来打星。火成这样实在无法不去扫一眼，过了花季年龄表示完全看不下去，即便如此，“洪荒之力”“生死劫”“杀姐姐”这些流行词语我都能对得上我也表示了欣慰。
168	白晝白·黑夜黑	和虐得惊心动魄的剧情比，结局好无聊啊。
169	锦瑟二十	人设和人物关系颇富张力，场景与服装也很用心，台词傻了点。
170	安逸竹雪	这个虽然很喜欢但不好评价，好好的剧被祸祸成那样……
171	AneKite	还算不错
172	风寂九天	年度玛丽苏杰克苏大剧！
173	不吃馒头争口气	本来呢 是根本不想看的 但是呢 经不住朋友推荐 来瞅了一眼 感觉还不错 虽然快进的比较多
174	小酷豆	。。。
175	林彻彻(十三)	哈哈哈跳着看我才看到57集。听说烂尾了。高潮高不起来也是挺要命的。
176	轩辕少卿	本来就没啥感觉，看完片花果断就是不想看了。
177	Yuki =w=	奥特曼剧组倾情出演
178	来了个豆子	不知道怎么就一周周追剧了，浪费很多感情。推荐播完了再看，要他不看着太着急了。起初一两集一个多小时，后来的三十五分钟，里面有十分钟的前情回顾，是为了凑集数故意的吗？很不爽，一周四集
179	MT	这三小……我居然还看完了……
180	不见长安	特效渣就算了，剧情还是走马丽苏狗血幼稚路线，演员演技也渣，赵丽颖演什么都自带我无辜我纯真我要保护气场，另外豆瓣好像可以给零星
181	仲二	人物形象也太没个性了，女主过于喜形于色，其他的人都一脸苦大仇深，剪辑弄得跟ppt一样，特效做得真是吓人。
182	低首尘埃	挺没劲的故事，还拍那么长。一直无法get到霍建华的美好，算是罪过了吧，是要被抓去坐牢了吧。
183	大13	我是来拉高分数的。
184	滨山一叶	没看过原著，还不错吧！
185	媛熙	不喜欢周播剧，很少有中国的周播剧能让我一集不落地看下来，拍的问题还有剪辑的问题，往往总是观众最期待的部分被咔嚓掉，留下那些啰里八嗦不痛不痒的剧情和发展，以至于看得都没感觉了。但也创下芒果台周播剧有史以来收视率最高的一次。想想那年周播《轩辕剑》本是冲着胡歌去的之后就看不下去了
186	姑娘姓陈	前面还是可以看的，后面都是什么鬼！
187	Doris	尊上,你怎么这么帅 ~剧情到后边有点为虐而虐  拖沓啊 打斗戏连群演都舍不得多请点 特效就更不用说了 每次都说得多厉害多厉害似的~分分钟出几招就完了  。。。剧组是有多穷。。。还是赚了我不少泪的啦
188	Sybil、粥	10集以后都挺好看，喜欢东方和杀姐姐，唯独对白子画没什么爱
189	denny	虽然很火，但也就是拾前人之慧~《仙剑》的男女之间的深厚友谊。
190	Garing	一个书迷的期盼，你不会懂
191	已注销	原来玄幻剧还蛮好看！这些年我都错过了什么！
192	就这样怎么着	原著好看！电视剧也拍得很美！
193	小司	看了一点，颜值很高
194	浅浅说、围年	并不懂为何有人看了一集就打一星～并且如此理直气壮、电视剧特效想要多好？一集花个几千万美元就去拍权利的游戏了，真是戾气太重
195	莜麦	真不好看，还是看看小说吧
196	熊猫眼小A	用一个周末不眠不休看完了，就任性一个周末吧。
197	鹹魚阿不爛	还我未删节版本！！！
198	苏淮年	那个小怪兽是怎么回事
199	明朵	仙侠不够，情爱来凑。
200	何以笙箫默	还挺好看的啊。。出乎意料
201	Cheryl	里面的人都自我都很膨胀啊
202	mrs.myself	超级讨厌白子画这个人物，总觉得他是封建纲常制度的代表，反对自由与人权，就是那部分为维护自己利益而阻碍社会发展科学进步的封建地主阶级
203	≈ 紗紗≈★	师傅徒儿很虐心 杀阡陌最大赢家
204	庸爻儿	论这个世界上为什么需要心理医生
205	ccjd	把原著给毁了。
206	JuJu聚聚	看这剧忒考验耐心了
207	一个人	明知是玛丽苏剧也追到了大结局！跟父皇边看边吐槽出现率最高的词：剧情需要
208	佳宝	前面还行，后面都不太想看了。
209	外噻	开始是50集后来变成54集，现在又变成58集。。。。
210	Caesar	憋说话，让我哭会儿
211	what the fuck	假如特效和颜值能再走点儿心，就给五星了。
212	MINIMI	对不起这个师徒玛丽苏设定我！喜！欢！不要拦我！
213	拜火教教主	转世再多次那唯一的这一世自己却也不能体会
214	摄氏零度	一个灾星女主爱上了一个装逼男主，祸害了一群人的故事。
215	达野风	与我这种几百年前就看玄幻漫画的人剧情真不咋地..............但必须说造型啊制作啊是真美啊.................配音有的很奇怪................
216	X平方Y	其实没那么差的，从选角开始到开拍到开播，一直都在关注，慈文对花千骨还是很重视的。总体我个人认为挺好的，毕竟一千个读者一千个哈姆雷特，不可能完全符合我们心目中的形象。只是对为过审而把某些元素改掉的行为无力吐槽了，毕竟这不能怪电视剧制作方！
217	Gloria	仙侠玛丽苏圆梦之作哈哈哈
218	曳地裙裾	颜值值一星！
219	束竹	玛丽苏的世界我不是很懂，乔诗雨的配音真的不错，对了原作者抄袭空境炸了
220	啊呜	古装玛丽苏
221	格桑花??	真心不怎么样。。。。。
222	天才白痴	根本不想看啊
223	小柒゜	狗尾。满喜欢霓漫天的演技。
224	Clod阿贼	女人用来意淫的垃圾
225	小喵殿	我不知道我为什么要看这玩意儿
226	feeling	大结局好零碎，颜值不错
227	没有，没有	断断续续的看完了，湖南卫视无良，挺喜欢赵丽颖
228	红的	不出完整版我就只给一星！什么时候出了我再改成五星！
229	only	子画，爱千骨就那么不堪吗？她的善良，努力，卑微，你都看不到吗？
230	轩楹雪鸢	爱东方哥哥的人是无法接受这种东西的╮(╯▽╰)╭ 说到底还是不行啊 华策的人
231	春逸盎然	当讨论花千骨和盗墓哪部会爆时挺不以为然的,在国外打发时间看了小说,玛丽苏+初中生文笔雷得很。跟风看了几集剧，竟然饶有兴致开始追了，至少比去年大热的无CP感古剑好，细节改编较细腻，特效差些，但场景调色很清新很仙。赵丽颖功不可没，傻白甜能演得这么入人心在小花中也就她了，路人黑转粉。
232	艾兰	剧情烂
233	HH。	我只想看他们最后相爱相杀啊
234	花小会	唯一的理由就是人美剧情虐，可惜剪刀手太可恶，把本来详略就没把握好的剧情剪的更是没了看点。。彻底改观赵丽颖，虽然是整的，但是现在就是很讨喜的主角的脸。
235	Kate_JY	看的未删减版都删成那样了......
236	超越边界	第一次看霍建华，有点喜欢.....
237	AshRialto!	看了结尾也是看
238	余	不明白为什么会火
239	阿菲猫猫	芒果台扣一星，什么鸟剪辑
240	詹芹芹	本来想给三颗心 为了调节一下太多人给1星 其实画画的时候当bgm听还挺不错的／／／／看到后半段这质量…拖拖沓沓拖拖沓沓 15集左右的剧情还挺紧凑 40集后我是受不了了 但是这样一部剧我还是一集一集追了一个暑假 人生第一次 不容易
241	网吸虫	剪辑特效配音什么鬼！赵丽颖挺适合这个角色。 男主像反派，东方都比男主好。剧情还可以。
242	swilliam	这破片子还有人提改了原著太多...原著本就是一坨高雅【没错我竟然被人安利去看了那么两眼
243	云祈遇	很美，到20集之前都很好，20集开始怎么成了破案的了？真没劲。芒果台这一集重播十分钟的毛病我才发现，真是可恶，不追了，攒攒再看吧
244	limbo	怎么会这么弱智，里面的逻辑连个七岁小孩都不如。
